associate tag,tx,ty,tz,rx,ry,rz
0,987.669,-1259.372,304.155,-0.079,0.0034,0.006754
4,157.748,-1116.432,286.942,-0.00927,0.000487,0.035
8,-835.802,-961.945,255.781,-0.0946,0.27,0.0211
14,-1411.932,-115.562,213.189,0.0132,0.0933,-0.0375
16,-1358.442,394.791,316.148,0.126,0.114,0.067
20,-1276.488,1142.737,214.755,0.00265,-0.0199,-0.0496
24,-729.805,1971.689,244.069,0.0142,0.000283,0.0
30,224.741,1923.571,274.694,0.0202,0.0455,0.0312
32,889.324,1933.066,298.072,0.013,0.00984,0.0303
36,1733.523,1216.678,281.498,0.00734,-0.000149,-0.0681
40,1674.346,341.812,296.215,0.0101,-0.01144,-0.001222
44,1590.199,-650.588,297.679,-0.0388,-0.0124,-0.0352
